timestep,person_id,intervention_type,effect,person_age,person_sex,person_infectious,person_symptomatic,location_id,location_type,location_occupancy,location_capacity
60,154,lockdown,stayed_home,23,0,False,False,10,facility,1,-1
60,84,lockdown,stayed_home,35,1,False,False,10,facility,3,-1
60,34,lockdown,stayed_home,45,0,False,False,10,facility,12,-1
60,6,lockdown,stayed_home,53,1,False,False,12,facility,5,-1
60,27,lockdown,stayed_home,18,1,False,False,13,facility,7,-1
60,10,lockdown,stayed_home,32,1,False,False,13,facility,10,-1
60,31,lockdown,stayed_home,39,1,False,False,16,facility,6,-1
60,119,lockdown,stayed_home,18,0,False,False,17,facility,3,-1
60,105,lockdown,stayed_home,36,1,False,False,21,facility,3,-1
60,91,lockdown,stayed_home,18,0,False,False,22,facility,3,-1
60,144,lockdown,stayed_home,57,0,False,False,22,facility,4,-1
60,57,lockdown,stayed_home,50,0,False,False,29,facility,2,-1
60,83,lockdown,stayed_home,21,0,False,False,30,facility,1,-1
60,22,lockdown,stayed_home,12,0,False,False,33,facility,2,-1
60,123,lockdown,stayed_home,0,0,False,False,36,facility,2,-1
120,148,lockdown,stayed_home,43,1,False,False,10,facility,14,-1
120,10,lockdown,stayed_home,32,1,False,False,13,facility,20,-1
120,141,lockdown,stayed_home,70,1,False,False,14,facility,15,-1
120,39,lockdown,stayed_home,30,0,False,False,20,facility,3,-1
120,14,lockdown,stayed_home,50,0,False,False,20,facility,6,-1
180,119,lockdown,stayed_home,18,0,False,False,10,facility,14,-1
180,124,lockdown,stayed_home,40,1,False,False,13,facility,20,-1
180,91,lockdown,stayed_home,18,0,False,False,14,facility,19,-1
180,69,lockdown,stayed_home,40,0,False,False,18,facility,2,-1
180,6,lockdown,stayed_home,53,1,False,False,22,facility,1,-1
180,105,lockdown,stayed_home,36,1,False,False,28,facility,2,-1
240,111,lockdown,stayed_home,75,0,False,False,12,facility,11,-1
240,86,lockdown,stayed_home,59,0,False,False,13,facility,24,-1
240,91,lockdown,stayed_home,18,0,False,False,14,facility,17,-1
240,19,lockdown,stayed_home,71,0,False,False,14,facility,19,-1
240,21,lockdown,stayed_home,67,0,False,False,20,facility,5,-1
240,169,lockdown,stayed_home,41,1,False,False,36,facility,2,-1
300,137,lockdown,stayed_home,10,0,False,False,4,facility,5,-1
300,47,lockdown,stayed_home,34,1,False,False,14,facility,19,-1
300,65,lockdown,stayed_home,54,0,False,False,18,facility,2,-1
300,126,lockdown,stayed_home,41,0,False,False,36,facility,1,-1
300,21,lockdown,stayed_home,67,0,False,False,36,facility,2,-1
360,6,lockdown,stayed_home,53,1,False,False,11,facility,2,-1
360,10,lockdown,stayed_home,32,1,False,False,11,facility,3,-1
360,108,lockdown,stayed_home,49,0,False,False,17,facility,1,-1
420,43,lockdown,stayed_home,12,1,False,False,17,facility,1,-1
420,109,lockdown,stayed_home,79,0,False,False,20,facility,2,-1
420,38,lockdown,stayed_home,41,1,False,False,30,facility,7,-1
420,14,lockdown,stayed_home,50,0,False,False,36,facility,2,-1
420,73,lockdown,stayed_home,12,1,False,False,36,facility,2,-1
480,46,lockdown,stayed_home,83,0,False,False,4,facility,9,-1
480,158,lockdown,stayed_home,81,0,False,False,13,facility,23,-1
480,73,lockdown,stayed_home,12,1,False,False,20,facility,7,-1
480,4,lockdown,stayed_home,38,1,False,False,21,facility,10,-1
480,85,lockdown,stayed_home,25,1,False,False,33,facility,0,-1
480,148,lockdown,stayed_home,43,1,False,False,36,facility,3,-1
540,98,lockdown,stayed_home,36,1,False,False,4,facility,8,-1
540,28,lockdown,stayed_home,6,1,False,False,16,facility,4,-1
540,39,lockdown,stayed_home,30,0,False,False,20,facility,4,-1
540,119,lockdown,stayed_home,18,0,False,False,36,facility,2,-1
600,46,lockdown,stayed_home,83,0,False,False,10,facility,17,-1
600,128,lockdown,stayed_home,18,0,False,False,12,facility,6,-1
600,159,lockdown,stayed_home,51,0,False,False,21,facility,7,-1
600,53,lockdown,stayed_home,68,1,False,False,21,facility,7,-1
600,154,lockdown,stayed_home,23,0,False,False,23,facility,0,-1
600,160,lockdown,stayed_home,55,1,False,False,30,facility,2,-1
600,1,lockdown,stayed_home,27,1,False,False,34,facility,1,-1
600,94,lockdown,stayed_home,31,0,False,False,34,facility,2,-1
600,20,lockdown,stayed_home,18,1,False,False,37,facility,0,-1
660,17,lockdown,stayed_home,20,1,False,False,10,facility,13,-1
660,139,lockdown,stayed_home,20,0,False,False,13,facility,17,-1
660,95,lockdown,stayed_home,30,1,False,False,13,facility,19,-1
660,20,lockdown,stayed_home,18,1,False,False,14,facility,12,-1
660,2,lockdown,stayed_home,19,1,False,False,25,facility,3,-1
720,77,lockdown,stayed_home,54,0,False,False,3,facility,4,-1
720,86,lockdown,stayed_home,59,0,False,False,10,facility,13,-1
720,17,lockdown,stayed_home,20,1,False,False,10,facility,14,-1
720,98,lockdown,stayed_home,36,1,False,False,10,facility,14,-1
720,96,lockdown,stayed_home,14,1,False,False,10,facility,14,-1
720,131,lockdown,stayed_home,72,0,False,False,17,facility,3,-1
720,109,lockdown,stayed_home,79,0,False,False,25,facility,4,-1
720,136,lockdown,stayed_home,0,1,False,False,30,facility,4,-1
720,133,lockdown,stayed_home,45,0,False,False,36,facility,1,-1
780,149,lockdown,stayed_home,46,0,False,False,6,facility,2,-1
780,43,lockdown,stayed_home,12,1,False,False,8,facility,0,-1
780,169,lockdown,stayed_home,41,1,False,False,10,facility,10,-1
780,157,lockdown,stayed_home,40,1,False,False,11,facility,8,-1
780,89,lockdown,stayed_home,37,0,False,False,11,facility,9,-1
780,42,lockdown,stayed_home,65,1,False,False,14,facility,10,-1
780,10,lockdown,stayed_home,32,1,False,False,16,facility,3,-1
780,18,lockdown,stayed_home,60,1,False,False,20,facility,4,-1
780,100,lockdown,stayed_home,65,0,False,False,22,facility,5,-1
780,37,lockdown,stayed_home,34,0,False,False,28,facility,3,-1
780,32,lockdown,stayed_home,41,0,False,False,30,facility,2,-1
780,99,lockdown,stayed_home,60,1,False,False,30,facility,2,-1
840,17,lockdown,stayed_home,20,1,False,False,2,facility,17,-1
840,90,lockdown,stayed_home,42,1,False,False,10,facility,13,-1
840,128,lockdown,stayed_home,18,0,False,False,11,facility,10,-1
840,156,lockdown,stayed_home,69,0,False,False,13,facility,19,-1
