timestep,person_id,intervention_type,effect,person_age,person_sex,person_infectious,person_symptomatic,location_id,location_type,location_occupancy,location_capacity
0,6,mask,complied,53,1,False,False,,,0,-1
0,11,mask,complied,23,0,False,False,,,0,-1
0,12,mask,complied,49,0,False,False,,,0,-1
0,13,mask,complied,39,0,False,False,,,0,-1
0,14,mask,complied,50,0,False,False,,,0,-1
0,17,mask,complied,20,1,True,False,,,0,-1
0,18,mask,complied,60,1,False,False,,,0,-1
0,19,mask,complied,71,0,False,False,,,0,-1
0,21,mask,complied,67,0,False,False,,,0,-1
0,22,mask,complied,12,0,False,False,,,0,-1
0,23,mask,complied,20,1,False,False,,,0,-1
0,24,mask,complied,8,1,False,False,,,0,-1
0,25,mask,complied,18,0,False,False,,,0,-1
0,27,mask,complied,18,1,False,False,,,0,-1
0,28,mask,complied,6,1,False,False,,,0,-1
0,32,mask,complied,41,0,False,False,,,0,-1
0,34,mask,complied,45,0,False,False,,,0,-1
0,37,mask,complied,34,0,False,False,,,0,-1
0,39,mask,complied,30,0,False,False,,,0,-1
0,40,mask,complied,69,0,False,False,,,0,-1
0,44,mask,complied,11,1,False,False,,,0,-1
0,47,mask,complied,34,1,False,False,,,0,-1
0,49,mask,complied,39,1,False,False,,,0,-1
0,50,mask,complied,20,0,False,False,,,0,-1
0,51,mask,complied,33,0,False,False,,,0,-1
0,56,mask,complied,18,0,False,False,,,0,-1
0,57,mask,complied,50,0,False,False,,,0,-1
0,58,mask,complied,31,0,False,False,,,0,-1
0,65,mask,complied,54,0,False,False,,,0,-1
0,68,mask,complied,43,0,False,False,,,0,-1
0,72,mask,complied,0,1,False,False,,,0,-1
0,75,mask,complied,45,0,False,False,,,0,-1
0,79,mask,complied,18,0,False,False,,,0,-1
0,81,mask,complied,58,0,False,False,,,0,-1
0,83,mask,complied,21,0,False,False,,,0,-1
0,88,mask,complied,26,0,False,False,,,0,-1
0,92,mask,complied,41,1,False,False,,,0,-1
0,98,mask,complied,36,1,False,False,,,0,-1
0,100,mask,complied,65,0,False,False,,,0,-1
0,104,mask,complied,50,0,False,False,,,0,-1
0,105,mask,complied,36,1,False,False,,,0,-1
0,107,mask,complied,28,1,False,False,,,0,-1
0,109,mask,complied,79,0,False,False,,,0,-1
0,111,mask,complied,75,0,False,False,,,0,-1
0,113,mask,complied,37,0,False,False,,,0,-1
0,114,mask,complied,73,1,False,False,,,0,-1
0,120,mask,complied,36,1,False,False,,,0,-1
0,121,mask,complied,18,0,False,False,,,0,-1
0,122,mask,complied,62,0,False,False,,,0,-1
0,125,mask,complied,67,1,False,False,,,0,-1
0,128,mask,complied,18,0,False,False,,,0,-1
0,131,mask,complied,72,0,False,False,,,0,-1
0,132,mask,complied,25,0,False,False,,,0,-1
0,134,mask,complied,56,1,False,False,,,0,-1
0,136,mask,complied,0,1,False,False,,,0,-1
0,137,mask,complied,10,0,False,False,,,0,-1
0,139,mask,complied,20,0,False,False,,,0,-1
0,141,mask,complied,70,1,False,False,,,0,-1
0,142,mask,complied,0,1,False,False,,,0,-1
0,147,mask,complied,27,0,False,False,,,0,-1
0,149,mask,complied,46,0,False,False,,,0,-1
0,150,mask,complied,47,0,False,False,,,0,-1
0,153,mask,complied,11,0,False,False,,,0,-1
0,154,mask,complied,23,0,False,False,,,0,-1
0,166,mask,complied,18,1,False,False,,,0,-1
0,168,mask,complied,34,1,False,False,,,0,-1
0,170,mask,complied,0,1,False,False,,,0,-1
0,171,mask,complied,39,1,False,False,,,0,-1
0,174,mask,complied,43,1,False,False,,,0,-1
0,175,mask,complied,41,1,False,False,,,0,-1
0,180,mask,complied,41,0,False,False,,,0,-1
0,184,mask,complied,13,1,False,False,,,0,-1
0,190,mask,complied,18,1,False,False,,,0,-1
